Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumBefolkning
A,2004,5 - 9,Mann,Oppland,5858
A,2004,5 - 9,Mann,Oslo,14688
A,2004,5 - 9,Mann,Rogaland,15126
A,2004,5 - 9,Mann,Sogn og Fjordane,3892
A,2004,5 - 9,Mann,Telemark,5252
A,2004,5 - 9,Mann,Troms,5441
A,2004,5 - 9,Mann,Trøndelag,13867
A,2004,5 - 9,Mann,Vest-Agder,5870
A,2004,5 - 9,Mann,Vestfold,7470
A,2004,5 - 9,Mann,Østfold,8464
A,2004,10 - 14,Kvinne,Hele landet,152104
A,2004,10 - 14,Kvinne,Helseregion Midt-Norge,22060
A,2004,10 - 14,Kvinne,Helseregion Nord-Norge,15778
A,2004,10 - 14,Kvinne,Helseregion Sør-Øst,80722
A,2004,10 - 14,Kvinne,Helseregion Vest,33544
A,2004,10 - 14,Kvinne,Akershus,17688
A,2004,10 - 14,Kvinne,Aust-Agder,3617
A,2004,10 - 14,Kvinne,Buskerud,7952
A,2004,10 - 14,Kvinne,Finnmark,2582
A,2004,10 - 14,Kvinne,Hedmark,6000
A,2004,10 - 14,Kvinne,Hordaland,15414
A,2004,10 - 14,Kvinne,Møre og Romsdal,8370
A,2004,10 - 14,Kvinne,Nordland,8040
A,2004,10 - 14,Kvinne,Oppland,5855
A,2004,10 - 14,Kvinne,Oslo,12847
A,2004,10 - 14,Kvinne,Rogaland,14328
A,2004,10 - 14,Kvinne,Sogn og Fjordane,3804
A,2004,10 - 14,Kvinne,Telemark,5396
A,2004,10 - 14,Kvinne,Troms,5156
A,2004,10 - 14,Kvinne,Trøndelag,13689
A,2004,10 - 14,Kvinne,Vest-Agder,5785
A,2004,10 - 14,Kvinne,Vestfold,7360
A,2004,10 - 14,Kvinne,Østfold,8222
A,2004,10 - 14,Mann,Hele landet,160682
A,2004,10 - 14,Mann,Helseregion Midt-Norge,23026
A,2004,10 - 14,Mann,Helseregion Nord-Norge,17084
A,2004,10 - 14,Mann,Helseregion Sør-Øst,84851
A,2004,10 - 14,Mann,Helseregion Vest,35720
A,2004,10 - 14,Mann,Akershus,18730
A,2004,10 - 14,Mann,Aust-Agder,3745
A,2004,10 - 14,Mann,Buskerud,8084
A,2004,10 - 14,Mann,Finnmark,2720
A,2004,10 - 14,Mann,Hedmark,6262
A,2004,10 - 14,Mann,Hordaland,16287
A,2004,10 - 14,Mann,Møre og Romsdal,8806
A,2004,10 - 14,Mann,Nordland,8740
A,2004,10 - 14,Mann,Oppland,6164
A,2004,10 - 14,Mann,Oslo,13500
A,2004,10 - 14,Mann,Rogaland,15364
A,2004,10 - 14,Mann,Sogn og Fjordane,4068
A,2004,10 - 14,Mann,Telemark,5703
A,2004,10 - 14,Mann,Troms,5624
A,2004,10 - 14,Mann,Trøndelag,14220
A,2004,10 - 14,Mann,Vest-Agder,6100
A,2004,10 - 14,Mann,Vestfold,7750
A,2004,10 - 14,Mann,Østfold,8814
A,2004,15 - 19,Kvinne,Hele landet,140318
A,2004,15 - 19,Kvinne,Helseregion Midt-Norge,20588
A,2004,15 - 19,Kvinne,Helseregion Nord-Norge,14599
A,2004,15 - 19,Kvinne,Helseregion Sør-Øst,74131
A,2004,15 - 19,Kvinne,Helseregion Vest,31000
A,2004,15 - 19,Kvinne,Akershus,15232
A,2004,15 - 19,Kvinne,Aust-Agder,3430
A,2004,15 - 19,Kvinne,Buskerud,7308
A,2004,15 - 19,Kvinne,Finnmark,2308
A,2004,15 - 19,Kvinne,Hedmark,5544
A,2004,15 - 19,Kvinne,Hordaland,14129
A,2004,15 - 19,Kvinne,Møre og Romsdal,7954
A,2004,15 - 19,Kvinne,Nordland,7586
A,2004,15 - 19,Kvinne,Oppland,5300
A,2004,15 - 19,Kvinne,Oslo,12136
A,2004,15 - 19,Kvinne,Rogaland,13260
A,2004,15 - 19,Kvinne,Sogn og Fjordane,3610
A,2004,15 - 19,Kvinne,Telemark,5223
A,2004,15 - 19,Kvinne,Troms,4704
A,2004,15 - 19,Kvinne,Trøndelag,12635
A,2004,15 - 19,Kvinne,Vest-Agder,5278
A,2004,15 - 19,Kvinne,Vestfold,7112
A,2004,15 - 19,Kvinne,Østfold,7570
A,2004,15 - 19,Mann,Hele landet,148016
A,2004,15 - 19,Mann,Helseregion Midt-Norge,21539
A,2004,15 - 19,Mann,Helseregion Nord-Norge,15656
A,2004,15 - 19,Mann,Helseregion Sør-Øst,78002
A,2004,15 - 19,Mann,Helseregion Vest,32819
A,2004,15 - 19,Mann,Akershus,16231
A,2004,15 - 19,Mann,Aust-Agder,3561
A,2004,15 - 19,Mann,Buskerud,7704
A,2004,15 - 19,Mann,Finnmark,2443
A,2004,15 - 19,Mann,Hedmark,5856
A,2004,15 - 19,Mann,Hordaland,14982
A,2004,15 - 19,Mann,Møre og Romsdal,8527
A,2004,15 - 19,Mann,Nordland,8217
A,2004,15 - 19,Mann,Oppland,5681
A,2004,15 - 19,Mann,Oslo,12453
A,2004,15 - 19,Mann,Rogaland,13901
A,2004,15 - 19,Mann,Sogn og Fjordane,3936
A,2004,15 - 19,Mann,Telemark,5486
A,2004,15 - 19,Mann,Troms,4996
A,2004,15 - 19,Mann,Trøndelag,13012
A,2004,15 - 19,Mann,Vest-Agder,5707
A,2004,15 - 19,Mann,Vestfold,7268
A,2004,15 - 19,Mann,Østfold,8053
A,2004,20 - 24,Kvinne,Hele landet,134208
A,2004,20 - 24,Kvinne,Helseregion Midt-Norge,19528
A,2004,20 - 24,Kvinne,Helseregion Nord-Norge,13306
A,2004,20 - 24,Kvinne,Helseregion Sør-Øst,71685
A,2004,20 - 24,Kvinne,Helseregion Vest,29690
A,2004,20 - 24,Kvinne,Akershus,12702
A,2004,20 - 24,Kvinne,Aust-Agder,3216
A,2004,20 - 24,Kvinne,Buskerud,6737
A,2004,20 - 24,Kvinne,Finnmark,1998
A,2004,20 - 24,Kvinne,Hedmark,4854
A,2004,20 - 24,Kvinne,Hordaland,13778
A,2004,20 - 24,Kvinne,Møre og Romsdal,7574
A,2004,20 - 24,Kvinne,Nordland,6868
A,2004,20 - 24,Kvinne,Oppland,4970
A,2004,20 - 24,Kvinne,Oslo,15942
A,2004,20 - 24,Kvinne,Rogaland,12603
A,2004,20 - 24,Kvinne,Sogn og Fjordane,3308
A,2004,20 - 24,Kvinne,Telemark,4739
A,2004,20 - 24,Kvinne,Troms,4440
A,2004,20 - 24,Kvinne,Trøndelag,11954
A,2004,20 - 24,Kvinne,Vest-Agder,5148
A,2004,20 - 24,Kvinne,Vestfold,6216
A,2004,20 - 24,Kvinne,Østfold,7160
A,2004,20 - 24,Mann,Hele landet,138758
A,2004,20 - 24,Mann,Helseregion Midt-Norge,20352
A,2004,20 - 24,Mann,Helseregion Nord-Norge,14440
A,2004,20 - 24,Mann,Helseregion Sør-Øst,73062
A,2004,20 - 24,Mann,Helseregion Vest,30904
A,2004,20 - 24,Mann,Akershus,13298
A,2004,20 - 24,Mann,Aust-Agder,3460
A,2004,20 - 24,Mann,Buskerud,6968
A,2004,20 - 24,Mann,Finnmark,2108
A,2004,20 - 24,Mann,Hedmark,5250
A,2004,20 - 24,Mann,Hordaland,14400
A,2004,20 - 24,Mann,Møre og Romsdal,8056
A,2004,20 - 24,Mann,Nordland,7402
A,2004,20 - 24,Mann,Oppland,5242
A,2004,20 - 24,Mann,Oslo,14393
A,2004,20 - 24,Mann,Rogaland,12990
A,2004,20 - 24,Mann,Sogn og Fjordane,3514
A,2004,20 - 24,Mann,Telemark,5052
A,2004,20 - 24,Mann,Troms,4930
A,2004,20 - 24,Mann,Trøndelag,12296
A,2004,20 - 24,Mann,Vest-Agder,5614
A,2004,20 - 24,Mann,Vestfold,6538
A,2004,20 - 24,Mann,Østfold,7248
A,2004,25 - 29,Kvinne,Hele landet,143504
A,2004,25 - 29,Kvinne,Helseregion Midt-Norge,18606
A,2004,25 - 29,Kvinne,Helseregion Nord-Norge,12860
A,2004,25 - 29,Kvinne,Helseregion Sør-Øst,81700
A,2004,25 - 29,Kvinne,Helseregion Vest,30337
A,2004,25 - 29,Kvinne,Akershus,13041
A,2004,25 - 29,Kvinne,Aust-Agder,2934
A,2004,25 - 29,Kvinne,Buskerud,6916
A,2004,25 - 29,Kvinne,Finnmark,2104
A,2004,25 - 29,Kvinne,Hedmark,4686
A,2004,25 - 29,Kvinne,Hordaland,14693
A,2004,25 - 29,Kvinne,Møre og Romsdal,6580
A,2004,25 - 29,Kvinne,Nordland,6161
A,2004,25 - 29,Kvinne,Oppland,4636
A,2004,25 - 29,Kvinne,Oslo,26602
A,2004,25 - 29,Kvinne,Rogaland,12815
A,2004,25 - 29,Kvinne,Sogn og Fjordane,2829
A,2004,25 - 29,Kvinne,Telemark,4606
A,2004,25 - 29,Kvinne,Troms,4596
A,2004,25 - 29,Kvinne,Trøndelag,12026
A,2004,25 - 29,Kvinne,Vest-Agder,4948
A,2004,25 - 29,Kvinne,Vestfold,6101
A,2004,25 - 29,Kvinne,Østfold,7231
A,2004,25 - 29,Mann,Hele landet,145511
A,2004,25 - 29,Mann,Helseregion Midt-Norge,19883
A,2004,25 - 29,Mann,Helseregion Nord-Norge,13764
A,2004,25 - 29,Mann,Helseregion Sør-Øst,80498
A,2004,25 - 29,Mann,Helseregion Vest,31365
A,2004,25 - 29,Mann,Akershus,12666
A,2004,25 - 29,Mann,Aust-Agder,3178
A,2004,25 - 29,Mann,Buskerud,6990
A,2004,25 - 29,Mann,Finnmark,2277
A,2004,25 - 29,Mann,Hedmark,5042
A,2004,25 - 29,Mann,Hordaland,15029
A,2004,25 - 29,Mann,Møre og Romsdal,7101
A,2004,25 - 29,Mann,Nordland,6712
A,2004,25 - 29,Mann,Oppland,4997
A,2004,25 - 29,Mann,Oslo,24104
A,2004,25 - 29,Mann,Rogaland,13338
A,2004,25 - 29,Mann,Sogn og Fjordane,2998
A,2004,25 - 29,Mann,Telemark,4829
A,2004,25 - 29,Mann,Troms,4776
A,2004,25 - 29,Mann,Trøndelag,12782
A,2004,25 - 29,Mann,Vest-Agder,5091
A,2004,25 - 29,Mann,Vestfold,6130
A,2004,25 - 29,Mann,Østfold,7472
A,2004,30 - 34,Kvinne,Hele landet,168339
A,2004,30 - 34,Kvinne,Helseregion Midt-Norge,21472
A,2004,30 - 34,Kvinne,Helseregion Nord-Norge,15962
A,2004,30 - 34,Kvinne,Helseregion Sør-Øst,97156
A,2004,30 - 34,Kvinne,Helseregion Vest,33749
A,2004,30 - 34,Kvinne,Akershus,17860
A,2004,30 - 34,Kvinne,Aust-Agder,3390
A,2004,30 - 34,Kvinne,Buskerud,8638
A,2004,30 - 34,Kvinne,Finnmark,2818
A,2004,30 - 34,Kvinne,Hedmark,5892
A,2004,30 - 34,Kvinne,Hordaland,16171
A,2004,30 - 34,Kvinne,Møre og Romsdal,7550
A,2004,30 - 34,Kvinne,Nordland,7526
A,2004,30 - 34,Kvinne,Oppland,5886
A,2004,30 - 34,Kvinne,Oslo,28258
A,2004,30 - 34,Kvinne,Rogaland,14330
A,2004,30 - 34,Kvinne,Sogn og Fjordane,3248
A,2004,30 - 34,Kvinne,Telemark,5432
A,2004,30 - 34,Kvinne,Troms,5618
A,2004,30 - 34,Kvinne,Trøndelag,13923
A,2004,30 - 34,Kvinne,Vest-Agder,5508
A,2004,30 - 34,Kvinne,Vestfold,7348
A,2004,30 - 34,Kvinne,Østfold,8944
A,2004,30 - 34,Mann,Hele landet,172280
A,2004,30 - 34,Mann,Helseregion Midt-Norge,22656
A,2004,30 - 34,Mann,Helseregion Nord-Norge,16298
A,2004,30 - 34,Mann,Helseregion Sør-Øst,98112
A,2004,30 - 34,Mann,Helseregion Vest,35213
A,2004,30 - 34,Mann,Akershus,16752
A,2004,30 - 34,Mann,Aust-Agder,3524
A,2004,30 - 34,Mann,Buskerud,8810
A,2004,30 - 34,Mann,Finnmark,2890
A,2004,30 - 34,Mann,Hedmark,5850
A,2004,30 - 34,Mann,Hordaland,17024
A,2004,30 - 34,Mann,Møre og Romsdal,8113
A,2004,30 - 34,Mann,Nordland,7472
A,2004,30 - 34,Mann,Oppland,6111
A,2004,30 - 34,Mann,Oslo,29526
A,2004,30 - 34,Mann,Rogaland,14813
A,2004,30 - 34,Mann,Sogn og Fjordane,3376
A,2004,30 - 34,Mann,Telemark,5666
A,2004,30 - 34,Mann,Troms,5937
A,2004,30 - 34,Mann,Trøndelag,14543
A,2004,30 - 34,Mann,Vest-Agder,5690
A,2004,30 - 34,Mann,Vestfold,7226
A,2004,30 - 34,Mann,Østfold,8957
A,2004,35 - 39,Kvinne,Hele landet,173795
A,2004,35 - 39,Kvinne,Helseregion Midt-Norge,23130
A,2004,35 - 39,Kvinne,Helseregion Nord-Norge,16920
A,2004,35 - 39,Kvinne,Helseregion Sør-Øst,98815
A,2004,35 - 39,Kvinne,Helseregion Vest,34930
A,2004,35 - 39,Kvinne,Akershus,21244
A,2004,35 - 39,Kvinne,Aust-Agder,3622
A,2004,35 - 39,Kvinne,Buskerud,9298
A,2004,35 - 39,Kvinne,Finnmark,2795
A,2004,35 - 39,Kvinne,Hedmark,6490
A,2004,35 - 39,Kvinne,Hordaland,16566
A,2004,35 - 39,Kvinne,Møre og Romsdal,8224
A,2004,35 - 39,Kvinne,Nordland,8411
A,2004,35 - 39,Kvinne,Oppland,6484
A,2004,35 - 39,Kvinne,Oslo,22050
A,2004,35 - 39,Kvinne,Rogaland,14920
A,2004,35 - 39,Kvinne,Sogn og Fjordane,3444
A,2004,35 - 39,Kvinne,Telemark,5943
A,2004,35 - 39,Kvinne,Troms,5714
A,2004,35 - 39,Kvinne,Trøndelag,14906
A,2004,35 - 39,Kvinne,Vest-Agder,5763
A,2004,35 - 39,Kvinne,Vestfold,8226
A,2004,35 - 39,Kvinne,Østfold,9696
A,2004,35 - 39,Mann,Hele landet,181031
A,2004,35 - 39,Mann,Helseregion Midt-Norge,24236
A,2004,35 - 39,Mann,Helseregion Nord-Norge,18080
A,2004,35 - 39,Mann,Helseregion Sør-Øst,102134
A,2004,35 - 39,Mann,Helseregion Vest,36581
A,2004,35 - 39,Mann,Akershus,20419
A,2004,35 - 39,Mann,Aust-Agder,3746
A,2004,35 - 39,Mann,Buskerud,9532
A,2004,35 - 39,Mann,Finnmark,3050
A,2004,35 - 39,Mann,Hedmark,6868
A,2004,35 - 39,Mann,Hordaland,17239
A,2004,35 - 39,Mann,Møre og Romsdal,8818
A,2004,35 - 39,Mann,Nordland,8923
A,2004,35 - 39,Mann,Oppland,6810
A,2004,35 - 39,Mann,Oslo,24386
A,2004,35 - 39,Mann,Rogaland,15546
A,2004,35 - 39,Mann,Sogn og Fjordane,3796
A,2004,35 - 39,Mann,Telemark,6050
A,2004,35 - 39,Mann,Troms,6106
A,2004,35 - 39,Mann,Trøndelag,15418
A,2004,35 - 39,Mann,Vest-Agder,6050
A,2004,35 - 39,Mann,Vestfold,8284
A,2004,35 - 39,Mann,Østfold,9990
A,2004,40 - 44,Kvinne,Hele landet,160926
A,2004,40 - 44,Kvinne,Helseregion Midt-Norge,21388
A,2004,40 - 44,Kvinne,Helseregion Nord-Norge,15900
A,2004,40 - 44,Kvinne,Helseregion Sør-Øst,91488
A,2004,40 - 44,Kvinne,Helseregion Vest,32150
A,2004,40 - 44,Kvinne,Akershus,19936
A,2004,40 - 44,Kvinne,Aust-Agder,3522
A,2004,40 - 44,Kvinne,Buskerud,8652
A,2004,40 - 44,Kvinne,Finnmark,2516
A,2004,40 - 44,Kvinne,Hedmark,6370
A,2004,40 - 44,Kvinne,Hordaland,15000
A,2004,40 - 44,Kvinne,Møre og Romsdal,7816
A,2004,40 - 44,Kvinne,Nordland,8064
A,2004,40 - 44,Kvinne,Oppland,6358
A,2004,40 - 44,Kvinne,Oslo,18570
A,2004,40 - 44,Kvinne,Rogaland,13702
A,2004,40 - 44,Kvinne,Sogn og Fjordane,3448
A,2004,40 - 44,Kvinne,Telemark,5644
A,2004,40 - 44,Kvinne,Troms,5321
A,2004,40 - 44,Kvinne,Trøndelag,13573
A,2004,40 - 44,Kvinne,Vest-Agder,5558
A,2004,40 - 44,Kvinne,Vestfold,7968
A,2004,40 - 44,Kvinne,Østfold,8911
A,2004,40 - 44,Mann,Hele landet,167661
A,2004,40 - 44,Mann,Helseregion Midt-Norge,22596
A,2004,40 - 44,Mann,Helseregion Nord-Norge,16571
A,2004,40 - 44,Mann,Helseregion Sør-Øst,94220
A,2004,40 - 44,Mann,Helseregion Vest,34274
A,2004,40 - 44,Mann,Akershus,19996
A,2004,40 - 44,Mann,Aust-Agder,3462
A,2004,40 - 44,Mann,Buskerud,8952
A,2004,40 - 44,Mann,Finnmark,2706
A,2004,40 - 44,Mann,Hedmark,6476
A,2004,40 - 44,Mann,Hordaland,16029
A,2004,40 - 44,Mann,Møre og Romsdal,8394
A,2004,40 - 44,Mann,Nordland,8348
A,2004,40 - 44,Mann,Oppland,6443
A,2004,40 - 44,Mann,Oslo,20080
A,2004,40 - 44,Mann,Rogaland,14378
A,2004,40 - 44,Mann,Sogn og Fjordane,3866
A,2004,40 - 44,Mann,Telemark,5662
A,2004,40 - 44,Mann,Troms,5516
A,2004,40 - 44,Mann,Trøndelag,14203
A,2004,40 - 44,Mann,Vest-Agder,5852
A,2004,40 - 44,Mann,Vestfold,7997
A,2004,40 - 44,Mann,Østfold,9301
A,2004,45 - 49,Kvinne,Hele landet,156474
A,2004,45 - 49,Kvinne,Helseregion Midt-Norge,21713
A,2004,45 - 49,Kvinne,Helseregion Nord-Norge,15584
A,2004,45 - 49,Kvinne,Helseregion Sør-Øst,88010
A,2004,45 - 49,Kvinne,Helseregion Vest,31166
A,2004,45 - 49,Kvinne,Akershus,17651
A,2004,45 - 49,Kvinne,Aust-Agder,3653
A,2004,45 - 49,Kvinne,Buskerud,8468
A,2004,45 - 49,Kvinne,Finnmark,2384
A,2004,45 - 49,Kvinne,Hedmark,6682
A,2004,45 - 49,Kvinne,Hordaland,14572
A,2004,45 - 49,Kvinne,Møre og Romsdal,8415
A,2004,45 - 49,Kvinne,Nordland,8034
A,2004,45 - 49,Kvinne,Oppland,6379
A,2004,45 - 49,Kvinne,Oslo,16985
A,2004,45 - 49,Kvinne,Rogaland,13038
A,2004,45 - 49,Kvinne,Sogn og Fjordane,3557
A,2004,45 - 49,Kvinne,Telemark,5880
A,2004,45 - 49,Kvinne,Troms,5166
A,2004,45 - 49,Kvinne,Trøndelag,13298
A,2004,45 - 49,Kvinne,Vest-Agder,5292
A,2004,45 - 49,Kvinne,Vestfold,7954
A,2004,45 - 49,Kvinne,Østfold,9067
A,2004,45 - 49,Mann,Hele landet,161304
A,2004,45 - 49,Mann,Helseregion Midt-Norge,22803
A,2004,45 - 49,Mann,Helseregion Nord-Norge,16258
A,2004,45 - 49,Mann,Helseregion Sør-Øst,89725
A,2004,45 - 49,Mann,Helseregion Vest,32519
A,2004,45 - 49,Mann,Akershus,18402
A,2004,45 - 49,Mann,Aust-Agder,3674
A,2004,45 - 49,Mann,Buskerud,8608
A,2004,45 - 49,Mann,Finnmark,2474
A,2004,45 - 49,Mann,Hedmark,6696
A,2004,45 - 49,Mann,Hordaland,15290
A,2004,45 - 49,Mann,Møre og Romsdal,8810
A,2004,45 - 49,Mann,Nordland,8425
A,2004,45 - 49,Mann,Oppland,6616
A,2004,45 - 49,Mann,Oslo,17416
A,2004,45 - 49,Mann,Rogaland,13473
A,2004,45 - 49,Mann,Sogn og Fjordane,3756
A,2004,45 - 49,Mann,Telemark,5999
A,2004,45 - 49,Mann,Troms,5359
A,2004,45 - 49,Mann,Trøndelag,13993
A,2004,45 - 49,Mann,Vest-Agder,5438
A,2004,45 - 49,Mann,Vestfold,7839
A,2004,45 - 49,Mann,Østfold,9037
A,2004,50 - 54,Kvinne,Hele landet,147258
A,2004,50 - 54,Kvinne,Helseregion Midt-Norge,21065
A,2004,50 - 54,Kvinne,Helseregion Nord-Norge,14924
A,2004,50 - 54,Kvinne,Helseregion Sør-Øst,82410
A,2004,50 - 54,Kvinne,Helseregion Vest,28858
A,2004,50 - 54,Kvinne,Akershus,15702
A,2004,50 - 54,Kvinne,Aust-Agder,3537
A,2004,50 - 54,Kvinne,Buskerud,8188
A,2004,50 - 54,Kvinne,Finnmark,2333
A,2004,50 - 54,Kvinne,Hedmark,6555
A,2004,50 - 54,Kvinne,Hordaland,13700
A,2004,50 - 54,Kvinne,Møre og Romsdal,8156
A,2004,50 - 54,Kvinne,Nordland,7616
A,2004,50 - 54,Kvinne,Oppland,6170
A,2004,50 - 54,Kvinne,Oslo,15520
A,2004,50 - 54,Kvinne,Rogaland,11774
A,2004,50 - 54,Kvinne,Sogn og Fjordane,3384
A,2004,50 - 54,Kvinne,Telemark,5634
A,2004,50 - 54,Kvinne,Troms,4976
A,2004,50 - 54,Kvinne,Trøndelag,12909
A,2004,50 - 54,Kvinne,Vest-Agder,4939
A,2004,50 - 54,Kvinne,Vestfold,7546
A,2004,50 - 54,Kvinne,Østfold,8618
A,2004,50 - 54,Mann,Hele landet,152336
A,2004,50 - 54,Mann,Helseregion Midt-Norge,21936
A,2004,50 - 54,Mann,Helseregion Nord-Norge,16334
A,2004,50 - 54,Mann,Helseregion Sør-Øst,83182
A,2004,50 - 54,Mann,Helseregion Vest,30884
A,2004,50 - 54,Mann,Akershus,15892
A,2004,50 - 54,Mann,Aust-Agder,3628
A,2004,50 - 54,Mann,Buskerud,8346
A,2004,50 - 54,Mann,Finnmark,2638
A,2004,50 - 54,Mann,Hedmark,6594
A,2004,50 - 54,Mann,Hordaland,14477
A,2004,50 - 54,Mann,Møre og Romsdal,8650
A,2004,50 - 54,Mann,Nordland,8350
A,2004,50 - 54,Mann,Oppland,6294
A,2004,50 - 54,Mann,Oslo,15339
A,2004,50 - 54,Mann,Rogaland,12713
A,2004,50 - 54,Mann,Sogn og Fjordane,3694
A,2004,50 - 54,Mann,Telemark,5770
A,2004,50 - 54,Mann,Troms,5348
A,2004,50 - 54,Mann,Trøndelag,13286
A,2004,50 - 54,Mann,Vest-Agder,5082
A,2004,50 - 54,Mann,Vestfold,7532
A,2004,50 - 54,Mann,Østfold,8704
A,2004,55 - 59,Kvinne,Hele landet,148206
A,2004,55 - 59,Kvinne,Helseregion Midt-Norge,20556
A,2004,55 - 59,Kvinne,Helseregion Nord-Norge,14936
A,2004,55 - 59,Kvinne,Helseregion Sør-Øst,85034
A,2004,55 - 59,Kvinne,Helseregion Vest,27680
A,2004,55 - 59,Kvinne,Akershus,16408
A,2004,55 - 59,Kvinne,Aust-Agder,3479
A,2004,55 - 59,Kvinne,Buskerud,8680
A,2004,55 - 59,Kvinne,Finnmark,2272
A,2004,55 - 59,Kvinne,Hedmark,6922
A,2004,55 - 59,Kvinne,Hordaland,13654
A,2004,55 - 59,Kvinne,Møre og Romsdal,7746
A,2004,55 - 59,Kvinne,Nordland,7688
A,2004,55 - 59,Kvinne,Oppland,6553
A,2004,55 - 59,Kvinne,Oslo,15644
A,2004,55 - 59,Kvinne,Rogaland,10838
A,2004,55 - 59,Kvinne,Sogn og Fjordane,3188
A,2004,55 - 59,Kvinne,Telemark,5757
A,2004,55 - 59,Kvinne,Troms,4976
A,2004,55 - 59,Kvinne,Trøndelag,12810
A,2004,55 - 59,Kvinne,Vest-Agder,4842
A,2004,55 - 59,Kvinne,Vestfold,7484
