Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R05,2004,5 - 9,Mann,Telemark,121
R05,2004,5 - 9,Mann,Troms,113
R05,2004,5 - 9,Mann,Trøndelag,360
R05,2004,5 - 9,Mann,Vest-Agder,177
R05,2004,5 - 9,Mann,Vestfold,248
R05,2004,5 - 9,Mann,Østfold,271
R05,2004,10 - 14,Kvinne,Hele landet,4102
R05,2004,10 - 14,Kvinne,Helseregion Midt-Norge,507
R05,2004,10 - 14,Kvinne,Helseregion Nord-Norge,372
R05,2004,10 - 14,Kvinne,Helseregion Sør-Øst,2267
R05,2004,10 - 14,Kvinne,Helseregion Vest,956
R05,2004,10 - 14,Kvinne,Akershus,469
R05,2004,10 - 14,Kvinne,Aust-Agder,87
R05,2004,10 - 14,Kvinne,Buskerud,238
R05,2004,10 - 14,Kvinne,Finnmark,63
R05,2004,10 - 14,Kvinne,Hedmark,166
R05,2004,10 - 14,Kvinne,Hordaland,454
R05,2004,10 - 14,Kvinne,Møre og Romsdal,211
R05,2004,10 - 14,Kvinne,Nordland,183
R05,2004,10 - 14,Kvinne,Oppland,171
R05,2004,10 - 14,Kvinne,Oslo,417
R05,2004,10 - 14,Kvinne,Rogaland,393
R05,2004,10 - 14,Kvinne,Sogn og Fjordane,109
R05,2004,10 - 14,Kvinne,Telemark,131
R05,2004,10 - 14,Kvinne,Troms,126
R05,2004,10 - 14,Kvinne,Trøndelag,296
R05,2004,10 - 14,Kvinne,Vest-Agder,186
R05,2004,10 - 14,Kvinne,Vestfold,197
R05,2004,10 - 14,Kvinne,Østfold,205
R05,2004,10 - 14,Mann,Hele landet,3911
R05,2004,10 - 14,Mann,Helseregion Midt-Norge,519
R05,2004,10 - 14,Mann,Helseregion Nord-Norge,297
R05,2004,10 - 14,Mann,Helseregion Sør-Øst,2162
R05,2004,10 - 14,Mann,Helseregion Vest,933
R05,2004,10 - 14,Mann,Akershus,452
R05,2004,10 - 14,Mann,Aust-Agder,87
R05,2004,10 - 14,Mann,Buskerud,199
R05,2004,10 - 14,Mann,Finnmark,51
R05,2004,10 - 14,Mann,Hedmark,212
R05,2004,10 - 14,Mann,Hordaland,433
R05,2004,10 - 14,Mann,Møre og Romsdal,217
R05,2004,10 - 14,Mann,Nordland,146
R05,2004,10 - 14,Mann,Oppland,183
R05,2004,10 - 14,Mann,Oslo,382
R05,2004,10 - 14,Mann,Rogaland,385
R05,2004,10 - 14,Mann,Sogn og Fjordane,115
R05,2004,10 - 14,Mann,Telemark,99
R05,2004,10 - 14,Mann,Troms,100
R05,2004,10 - 14,Mann,Trøndelag,302
R05,2004,10 - 14,Mann,Vest-Agder,143
R05,2004,10 - 14,Mann,Vestfold,182
R05,2004,10 - 14,Mann,Østfold,223
R05,2004,15 - 19,Kvinne,Hele landet,6217
R05,2004,15 - 19,Kvinne,Helseregion Midt-Norge,850
R05,2004,15 - 19,Kvinne,Helseregion Nord-Norge,515
R05,2004,15 - 19,Kvinne,Helseregion Sør-Øst,3456
R05,2004,15 - 19,Kvinne,Helseregion Vest,1396
R05,2004,15 - 19,Kvinne,Akershus,762
R05,2004,15 - 19,Kvinne,Aust-Agder,144
R05,2004,15 - 19,Kvinne,Buskerud,337
R05,2004,15 - 19,Kvinne,Finnmark,97
R05,2004,15 - 19,Kvinne,Hedmark,318
R05,2004,15 - 19,Kvinne,Hordaland,694
R05,2004,15 - 19,Kvinne,Møre og Romsdal,350
R05,2004,15 - 19,Kvinne,Nordland,229
R05,2004,15 - 19,Kvinne,Oppland,261
R05,2004,15 - 19,Kvinne,Oslo,582
R05,2004,15 - 19,Kvinne,Rogaland,525
R05,2004,15 - 19,Kvinne,Sogn og Fjordane,177
R05,2004,15 - 19,Kvinne,Telemark,171
R05,2004,15 - 19,Kvinne,Troms,189
R05,2004,15 - 19,Kvinne,Trøndelag,500
R05,2004,15 - 19,Kvinne,Vest-Agder,219
R05,2004,15 - 19,Kvinne,Vestfold,315
R05,2004,15 - 19,Kvinne,Østfold,347
R05,2004,15 - 19,Mann,Hele landet,3920
R05,2004,15 - 19,Mann,Helseregion Midt-Norge,549
R05,2004,15 - 19,Mann,Helseregion Nord-Norge,313
R05,2004,15 - 19,Mann,Helseregion Sør-Øst,2134
R05,2004,15 - 19,Mann,Helseregion Vest,924
R05,2004,15 - 19,Mann,Akershus,488
R05,2004,15 - 19,Mann,Aust-Agder,77
R05,2004,15 - 19,Mann,Buskerud,224
R05,2004,15 - 19,Mann,Finnmark,48
R05,2004,15 - 19,Mann,Hedmark,163
R05,2004,15 - 19,Mann,Hordaland,477
R05,2004,15 - 19,Mann,Møre og Romsdal,253
R05,2004,15 - 19,Mann,Nordland,174
R05,2004,15 - 19,Mann,Oppland,154
R05,2004,15 - 19,Mann,Oslo,399
R05,2004,15 - 19,Mann,Rogaland,331
R05,2004,15 - 19,Mann,Sogn og Fjordane,116
R05,2004,15 - 19,Mann,Telemark,112
R05,2004,15 - 19,Mann,Troms,91
R05,2004,15 - 19,Mann,Trøndelag,296
R05,2004,15 - 19,Mann,Vest-Agder,135
R05,2004,15 - 19,Mann,Vestfold,179
R05,2004,15 - 19,Mann,Østfold,203
R05,2004,20 - 24,Kvinne,Hele landet,6769
R05,2004,20 - 24,Kvinne,Helseregion Midt-Norge,857
R05,2004,20 - 24,Kvinne,Helseregion Nord-Norge,592
R05,2004,20 - 24,Kvinne,Helseregion Sør-Øst,3746
R05,2004,20 - 24,Kvinne,Helseregion Vest,1574
R05,2004,20 - 24,Kvinne,Akershus,752
R05,2004,20 - 24,Kvinne,Aust-Agder,143
R05,2004,20 - 24,Kvinne,Buskerud,369
R05,2004,20 - 24,Kvinne,Finnmark,102
R05,2004,20 - 24,Kvinne,Hedmark,258
R05,2004,20 - 24,Kvinne,Hordaland,811
R05,2004,20 - 24,Kvinne,Møre og Romsdal,351
R05,2004,20 - 24,Kvinne,Nordland,291
R05,2004,20 - 24,Kvinne,Oppland,233
R05,2004,20 - 24,Kvinne,Oslo,820
R05,2004,20 - 24,Kvinne,Rogaland,611
R05,2004,20 - 24,Kvinne,Sogn og Fjordane,152
R05,2004,20 - 24,Kvinne,Telemark,203
R05,2004,20 - 24,Kvinne,Troms,199
R05,2004,20 - 24,Kvinne,Trøndelag,506
R05,2004,20 - 24,Kvinne,Vest-Agder,281
R05,2004,20 - 24,Kvinne,Vestfold,314
R05,2004,20 - 24,Kvinne,Østfold,373
R05,2004,20 - 24,Mann,Hele landet,3579
R05,2004,20 - 24,Mann,Helseregion Midt-Norge,449
R05,2004,20 - 24,Mann,Helseregion Nord-Norge,315
R05,2004,20 - 24,Mann,Helseregion Sør-Øst,1954
R05,2004,20 - 24,Mann,Helseregion Vest,861
R05,2004,20 - 24,Mann,Akershus,427
R05,2004,20 - 24,Mann,Aust-Agder,81
R05,2004,20 - 24,Mann,Buskerud,190
R05,2004,20 - 24,Mann,Finnmark,50
R05,2004,20 - 24,Mann,Hedmark,157
R05,2004,20 - 24,Mann,Hordaland,422
R05,2004,20 - 24,Mann,Møre og Romsdal,205
R05,2004,20 - 24,Mann,Nordland,162
R05,2004,20 - 24,Mann,Oppland,112
R05,2004,20 - 24,Mann,Oslo,418
R05,2004,20 - 24,Mann,Rogaland,346
R05,2004,20 - 24,Mann,Sogn og Fjordane,93
R05,2004,20 - 24,Mann,Telemark,106
R05,2004,20 - 24,Mann,Troms,103
R05,2004,20 - 24,Mann,Trøndelag,244
R05,2004,20 - 24,Mann,Vest-Agder,136
R05,2004,20 - 24,Mann,Vestfold,154
R05,2004,20 - 24,Mann,Østfold,173
R05,2004,25 - 29,Kvinne,Hele landet,8843
R05,2004,25 - 29,Kvinne,Helseregion Midt-Norge,988
R05,2004,25 - 29,Kvinne,Helseregion Nord-Norge,715
R05,2004,25 - 29,Kvinne,Helseregion Sør-Øst,5220
R05,2004,25 - 29,Kvinne,Helseregion Vest,1920
R05,2004,25 - 29,Kvinne,Akershus,869
R05,2004,25 - 29,Kvinne,Aust-Agder,170
R05,2004,25 - 29,Kvinne,Buskerud,469
R05,2004,25 - 29,Kvinne,Finnmark,147
R05,2004,25 - 29,Kvinne,Hedmark,342
R05,2004,25 - 29,Kvinne,Hordaland,935
R05,2004,25 - 29,Kvinne,Møre og Romsdal,364
R05,2004,25 - 29,Kvinne,Nordland,325
R05,2004,25 - 29,Kvinne,Oppland,286
R05,2004,25 - 29,Kvinne,Oslo,1637
R05,2004,25 - 29,Kvinne,Rogaland,797
R05,2004,25 - 29,Kvinne,Sogn og Fjordane,188
R05,2004,25 - 29,Kvinne,Telemark,275
R05,2004,25 - 29,Kvinne,Troms,243
R05,2004,25 - 29,Kvinne,Trøndelag,624
R05,2004,25 - 29,Kvinne,Vest-Agder,292
R05,2004,25 - 29,Kvinne,Vestfold,388
R05,2004,25 - 29,Kvinne,Østfold,492
R05,2004,25 - 29,Mann,Hele landet,4641
R05,2004,25 - 29,Mann,Helseregion Midt-Norge,539
R05,2004,25 - 29,Mann,Helseregion Nord-Norge,401
R05,2004,25 - 29,Mann,Helseregion Sør-Øst,2650
R05,2004,25 - 29,Mann,Helseregion Vest,1051
R05,2004,25 - 29,Mann,Akershus,471
R05,2004,25 - 29,Mann,Aust-Agder,87
R05,2004,25 - 29,Mann,Buskerud,241
R05,2004,25 - 29,Mann,Finnmark,73
R05,2004,25 - 29,Mann,Hedmark,198
R05,2004,25 - 29,Mann,Hordaland,546
R05,2004,25 - 29,Mann,Møre og Romsdal,199
R05,2004,25 - 29,Mann,Nordland,190
R05,2004,25 - 29,Mann,Oppland,147
R05,2004,25 - 29,Mann,Oslo,809
R05,2004,25 - 29,Mann,Rogaland,423
R05,2004,25 - 29,Mann,Sogn og Fjordane,82
R05,2004,25 - 29,Mann,Telemark,153
R05,2004,25 - 29,Mann,Troms,138
R05,2004,25 - 29,Mann,Trøndelag,340
R05,2004,25 - 29,Mann,Vest-Agder,155
R05,2004,25 - 29,Mann,Vestfold,165
R05,2004,25 - 29,Mann,Østfold,224
R05,2004,30 - 34,Kvinne,Hele landet,12596
R05,2004,30 - 34,Kvinne,Helseregion Midt-Norge,1352
R05,2004,30 - 34,Kvinne,Helseregion Nord-Norge,1041
R05,2004,30 - 34,Kvinne,Helseregion Sør-Øst,7689
R05,2004,30 - 34,Kvinne,Helseregion Vest,2514
R05,2004,30 - 34,Kvinne,Akershus,1535
R05,2004,30 - 34,Kvinne,Aust-Agder,223
R05,2004,30 - 34,Kvinne,Buskerud,749
R05,2004,30 - 34,Kvinne,Finnmark,215
R05,2004,30 - 34,Kvinne,Hedmark,493
R05,2004,30 - 34,Kvinne,Hordaland,1259
R05,2004,30 - 34,Kvinne,Møre og Romsdal,479
R05,2004,30 - 34,Kvinne,Nordland,466
R05,2004,30 - 34,Kvinne,Oppland,406
R05,2004,30 - 34,Kvinne,Oslo,2181
R05,2004,30 - 34,Kvinne,Rogaland,1029
R05,2004,30 - 34,Kvinne,Sogn og Fjordane,226
R05,2004,30 - 34,Kvinne,Telemark,394
R05,2004,30 - 34,Kvinne,Troms,360
R05,2004,30 - 34,Kvinne,Trøndelag,873
R05,2004,30 - 34,Kvinne,Vest-Agder,389
R05,2004,30 - 34,Kvinne,Vestfold,577
R05,2004,30 - 34,Kvinne,Østfold,742
R05,2004,30 - 34,Mann,Hele landet,7067
R05,2004,30 - 34,Mann,Helseregion Midt-Norge,733
R05,2004,30 - 34,Mann,Helseregion Nord-Norge,520
R05,2004,30 - 34,Mann,Helseregion Sør-Øst,4331
R05,2004,30 - 34,Mann,Helseregion Vest,1483
R05,2004,30 - 34,Mann,Akershus,833
R05,2004,30 - 34,Mann,Aust-Agder,123
R05,2004,30 - 34,Mann,Buskerud,434
R05,2004,30 - 34,Mann,Finnmark,119
R05,2004,30 - 34,Mann,Hedmark,228
R05,2004,30 - 34,Mann,Hordaland,778
R05,2004,30 - 34,Mann,Møre og Romsdal,283
R05,2004,30 - 34,Mann,Nordland,235
R05,2004,30 - 34,Mann,Oppland,236
R05,2004,30 - 34,Mann,Oslo,1299
R05,2004,30 - 34,Mann,Rogaland,580
R05,2004,30 - 34,Mann,Sogn og Fjordane,125
R05,2004,30 - 34,Mann,Telemark,200
R05,2004,30 - 34,Mann,Troms,166
R05,2004,30 - 34,Mann,Trøndelag,450
R05,2004,30 - 34,Mann,Vest-Agder,239
R05,2004,30 - 34,Mann,Vestfold,306
R05,2004,30 - 34,Mann,Østfold,433
R05,2004,35 - 39,Kvinne,Hele landet,14181
R05,2004,35 - 39,Kvinne,Helseregion Midt-Norge,1631
R05,2004,35 - 39,Kvinne,Helseregion Nord-Norge,1119
R05,2004,35 - 39,Kvinne,Helseregion Sør-Øst,8742
R05,2004,35 - 39,Kvinne,Helseregion Vest,2689
R05,2004,35 - 39,Kvinne,Akershus,1888
R05,2004,35 - 39,Kvinne,Aust-Agder,294
R05,2004,35 - 39,Kvinne,Buskerud,885
R05,2004,35 - 39,Kvinne,Finnmark,210
R05,2004,35 - 39,Kvinne,Hedmark,568
R05,2004,35 - 39,Kvinne,Hordaland,1340
R05,2004,35 - 39,Kvinne,Møre og Romsdal,602
R05,2004,35 - 39,Kvinne,Nordland,504
R05,2004,35 - 39,Kvinne,Oppland,522
R05,2004,35 - 39,Kvinne,Oslo,2064
R05,2004,35 - 39,Kvinne,Rogaland,1109
R05,2004,35 - 39,Kvinne,Sogn og Fjordane,240
R05,2004,35 - 39,Kvinne,Telemark,456
R05,2004,35 - 39,Kvinne,Troms,405
R05,2004,35 - 39,Kvinne,Trøndelag,1029
R05,2004,35 - 39,Kvinne,Vest-Agder,434
R05,2004,35 - 39,Kvinne,Vestfold,718
R05,2004,35 - 39,Kvinne,Østfold,913
R05,2004,35 - 39,Mann,Hele landet,8466
R05,2004,35 - 39,Mann,Helseregion Midt-Norge,913
R05,2004,35 - 39,Mann,Helseregion Nord-Norge,650
R05,2004,35 - 39,Mann,Helseregion Sør-Øst,5221
R05,2004,35 - 39,Mann,Helseregion Vest,1682
R05,2004,35 - 39,Mann,Akershus,1162
R05,2004,35 - 39,Mann,Aust-Agder,155
R05,2004,35 - 39,Mann,Buskerud,508
R05,2004,35 - 39,Mann,Finnmark,125
R05,2004,35 - 39,Mann,Hedmark,308
R05,2004,35 - 39,Mann,Hordaland,802
R05,2004,35 - 39,Mann,Møre og Romsdal,341
R05,2004,35 - 39,Mann,Nordland,297
R05,2004,35 - 39,Mann,Oppland,306
R05,2004,35 - 39,Mann,Oslo,1395
R05,2004,35 - 39,Mann,Rogaland,716
R05,2004,35 - 39,Mann,Sogn og Fjordane,164
R05,2004,35 - 39,Mann,Telemark,249
R05,2004,35 - 39,Mann,Troms,228
R05,2004,35 - 39,Mann,Trøndelag,572
R05,2004,35 - 39,Mann,Vest-Agder,251
R05,2004,35 - 39,Mann,Vestfold,375
R05,2004,35 - 39,Mann,Østfold,512
R05,2004,40 - 44,Kvinne,Hele landet,13547
R05,2004,40 - 44,Kvinne,Helseregion Midt-Norge,1516
R05,2004,40 - 44,Kvinne,Helseregion Nord-Norge,1139
R05,2004,40 - 44,Kvinne,Helseregion Sør-Øst,8336
R05,2004,40 - 44,Kvinne,Helseregion Vest,2556
R05,2004,40 - 44,Kvinne,Akershus,1680
R05,2004,40 - 44,Kvinne,Aust-Agder,309
R05,2004,40 - 44,Kvinne,Buskerud,866
R05,2004,40 - 44,Kvinne,Finnmark,205
R05,2004,40 - 44,Kvinne,Hedmark,553
R05,2004,40 - 44,Kvinne,Hordaland,1266
R05,2004,40 - 44,Kvinne,Møre og Romsdal,547
R05,2004,40 - 44,Kvinne,Nordland,575
R05,2004,40 - 44,Kvinne,Oppland,600
R05,2004,40 - 44,Kvinne,Oslo,1949
R05,2004,40 - 44,Kvinne,Rogaland,1066
R05,2004,40 - 44,Kvinne,Sogn og Fjordane,224
R05,2004,40 - 44,Kvinne,Telemark,464
R05,2004,40 - 44,Kvinne,Troms,359
R05,2004,40 - 44,Kvinne,Trøndelag,969
R05,2004,40 - 44,Kvinne,Vest-Agder,410
R05,2004,40 - 44,Kvinne,Vestfold,658
R05,2004,40 - 44,Kvinne,Østfold,847
R05,2004,40 - 44,Mann,Hele landet,8010
R05,2004,40 - 44,Mann,Helseregion Midt-Norge,885
R05,2004,40 - 44,Mann,Helseregion Nord-Norge,624
R05,2004,40 - 44,Mann,Helseregion Sør-Øst,4920
R05,2004,40 - 44,Mann,Helseregion Vest,1581
R05,2004,40 - 44,Mann,Akershus,1108
R05,2004,40 - 44,Mann,Aust-Agder,172
R05,2004,40 - 44,Mann,Buskerud,476
R05,2004,40 - 44,Mann,Finnmark,114
R05,2004,40 - 44,Mann,Hedmark,344
R05,2004,40 - 44,Mann,Hordaland,814
R05,2004,40 - 44,Mann,Møre og Romsdal,330
R05,2004,40 - 44,Mann,Nordland,299
R05,2004,40 - 44,Mann,Oppland,291
R05,2004,40 - 44,Mann,Oslo,1231
R05,2004,40 - 44,Mann,Rogaland,607
R05,2004,40 - 44,Mann,Sogn og Fjordane,160
R05,2004,40 - 44,Mann,Telemark,240
R05,2004,40 - 44,Mann,Troms,211
R05,2004,40 - 44,Mann,Trøndelag,555
R05,2004,40 - 44,Mann,Vest-Agder,228
R05,2004,40 - 44,Mann,Vestfold,347
R05,2004,40 - 44,Mann,Østfold,483
R05,2004,45 - 49,Kvinne,Hele landet,13957
R05,2004,45 - 49,Kvinne,Helseregion Midt-Norge,1722
R05,2004,45 - 49,Kvinne,Helseregion Nord-Norge,1215
R05,2004,45 - 49,Kvinne,Helseregion Sør-Øst,8341
R05,2004,45 - 49,Kvinne,Helseregion Vest,2679
R05,2004,45 - 49,Kvinne,Akershus,1609
R05,2004,45 - 49,Kvinne,Aust-Agder,320
R05,2004,45 - 49,Kvinne,Buskerud,808
R05,2004,45 - 49,Kvinne,Finnmark,197
R05,2004,45 - 49,Kvinne,Hedmark,680
R05,2004,45 - 49,Kvinne,Hordaland,1350
R05,2004,45 - 49,Kvinne,Møre og Romsdal,666
R05,2004,45 - 49,Kvinne,Nordland,620
R05,2004,45 - 49,Kvinne,Oppland,596
R05,2004,45 - 49,Kvinne,Oslo,1826
R05,2004,45 - 49,Kvinne,Rogaland,1070
R05,2004,45 - 49,Kvinne,Sogn og Fjordane,259
R05,2004,45 - 49,Kvinne,Telemark,530
R05,2004,45 - 49,Kvinne,Troms,398
R05,2004,45 - 49,Kvinne,Trøndelag,1056
R05,2004,45 - 49,Kvinne,Vest-Agder,412
R05,2004,45 - 49,Kvinne,Vestfold,702
R05,2004,45 - 49,Kvinne,Østfold,858
R05,2004,45 - 49,Mann,Hele landet,7801
R05,2004,45 - 49,Mann,Helseregion Midt-Norge,962
R05,2004,45 - 49,Mann,Helseregion Nord-Norge,615
R05,2004,45 - 49,Mann,Helseregion Sør-Øst,4749
R05,2004,45 - 49,Mann,Helseregion Vest,1475
R05,2004,45 - 49,Mann,Akershus,1009
R05,2004,45 - 49,Mann,Aust-Agder,164
R05,2004,45 - 49,Mann,Buskerud,455
R05,2004,45 - 49,Mann,Finnmark,116
R05,2004,45 - 49,Mann,Hedmark,366
R05,2004,45 - 49,Mann,Hordaland,743
R05,2004,45 - 49,Mann,Møre og Romsdal,344
R05,2004,45 - 49,Mann,Nordland,327
R05,2004,45 - 49,Mann,Oppland,316
R05,2004,45 - 49,Mann,Oslo,1094
R05,2004,45 - 49,Mann,Rogaland,571
R05,2004,45 - 49,Mann,Sogn og Fjordane,161
R05,2004,45 - 49,Mann,Telemark,272
R05,2004,45 - 49,Mann,Troms,172
R05,2004,45 - 49,Mann,Trøndelag,618
R05,2004,45 - 49,Mann,Vest-Agder,205
R05,2004,45 - 49,Mann,Vestfold,372
R05,2004,45 - 49,Mann,Østfold,496
R05,2004,50 - 54,Kvinne,Hele landet,15109
R05,2004,50 - 54,Kvinne,Helseregion Midt-Norge,1909
R05,2004,50 - 54,Kvinne,Helseregion Nord-Norge,1317
R05,2004,50 - 54,Kvinne,Helseregion Sør-Øst,9068
R05,2004,50 - 54,Kvinne,Helseregion Vest,2815
R05,2004,50 - 54,Kvinne,Akershus,1754
R05,2004,50 - 54,Kvinne,Aust-Agder,358
R05,2004,50 - 54,Kvinne,Buskerud,939
R05,2004,50 - 54,Kvinne,Finnmark,220
R05,2004,50 - 54,Kvinne,Hedmark,747
R05,2004,50 - 54,Kvinne,Hordaland,1406
R05,2004,50 - 54,Kvinne,Møre og Romsdal,714
R05,2004,50 - 54,Kvinne,Nordland,656
R05,2004,50 - 54,Kvinne,Oppland,636
R05,2004,50 - 54,Kvinne,Oslo,1778
R05,2004,50 - 54,Kvinne,Rogaland,1109
R05,2004,50 - 54,Kvinne,Sogn og Fjordane,300
R05,2004,50 - 54,Kvinne,Telemark,579
R05,2004,50 - 54,Kvinne,Troms,441
R05,2004,50 - 54,Kvinne,Trøndelag,1195
R05,2004,50 - 54,Kvinne,Vest-Agder,473
R05,2004,50 - 54,Kvinne,Vestfold,777
R05,2004,50 - 54,Kvinne,Østfold,1027
R05,2004,50 - 54,Mann,Hele landet,8729
R05,2004,50 - 54,Mann,Helseregion Midt-Norge,1060
R05,2004,50 - 54,Mann,Helseregion Nord-Norge,702
R05,2004,50 - 54,Mann,Helseregion Sør-Øst,5268
R05,2004,50 - 54,Mann,Helseregion Vest,1699
R05,2004,50 - 54,Mann,Akershus,1028
R05,2004,50 - 54,Mann,Aust-Agder,200
R05,2004,50 - 54,Mann,Buskerud,531
R05,2004,50 - 54,Mann,Finnmark,127
R05,2004,50 - 54,Mann,Hedmark,427
R05,2004,50 - 54,Mann,Hordaland,833
R05,2004,50 - 54,Mann,Møre og Romsdal,412
R05,2004,50 - 54,Mann,Nordland,369
R05,2004,50 - 54,Mann,Oppland,381
R05,2004,50 - 54,Mann,Oslo,1106
R05,2004,50 - 54,Mann,Rogaland,679
R05,2004,50 - 54,Mann,Sogn og Fjordane,187
R05,2004,50 - 54,Mann,Telemark,312
R05,2004,50 - 54,Mann,Troms,206
R05,2004,50 - 54,Mann,Trøndelag,648
R05,2004,50 - 54,Mann,Vest-Agder,275
R05,2004,50 - 54,Mann,Vestfold,417
R05,2004,50 - 54,Mann,Østfold,591
R05,2004,55 - 59,Kvinne,Hele landet,18088
R05,2004,55 - 59,Kvinne,Helseregion Midt-Norge,2245
R05,2004,55 - 59,Kvinne,Helseregion Nord-Norge,1477
R05,2004,55 - 59,Kvinne,Helseregion Sør-Øst,11159
R05,2004,55 - 59,Kvinne,Helseregion Vest,3207
R05,2004,55 - 59,Kvinne,Akershus,2230
R05,2004,55 - 59,Kvinne,Aust-Agder,401
R05,2004,55 - 59,Kvinne,Buskerud,1201
R05,2004,55 - 59,Kvinne,Finnmark,245
R05,2004,55 - 59,Kvinne,Hedmark,940
R05,2004,55 - 59,Kvinne,Hordaland,1652
R05,2004,55 - 59,Kvinne,Møre og Romsdal,795
R05,2004,55 - 59,Kvinne,Nordland,755
R05,2004,55 - 59,Kvinne,Oppland,798
R05,2004,55 - 59,Kvinne,Oslo,2148
R05,2004,55 - 59,Kvinne,Rogaland,1240
R05,2004,55 - 59,Kvinne,Sogn og Fjordane,315
