Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumBefolkning
R03A,2004,10 - 14,Kvinne,Sogn og Fjordane,3804
R03A,2004,10 - 14,Kvinne,Telemark,5396
R03A,2004,10 - 14,Kvinne,Troms,5156
R03A,2004,10 - 14,Kvinne,Trøndelag,13689
R03A,2004,10 - 14,Kvinne,Vest-Agder,5785
R03A,2004,10 - 14,Kvinne,Vestfold,7360
R03A,2004,10 - 14,Kvinne,Østfold,8222
R03A,2004,10 - 14,Mann,Hele landet,160682
R03A,2004,10 - 14,Mann,Helseregion Midt-Norge,23026
R03A,2004,10 - 14,Mann,Helseregion Nord-Norge,17084
R03A,2004,10 - 14,Mann,Helseregion Sør-Øst,84851
R03A,2004,10 - 14,Mann,Helseregion Vest,35720
R03A,2004,10 - 14,Mann,Akershus,18730
R03A,2004,10 - 14,Mann,Aust-Agder,3745
R03A,2004,10 - 14,Mann,Buskerud,8084
R03A,2004,10 - 14,Mann,Finnmark,2720
R03A,2004,10 - 14,Mann,Hedmark,6262
R03A,2004,10 - 14,Mann,Hordaland,16287
R03A,2004,10 - 14,Mann,Møre og Romsdal,8806
R03A,2004,10 - 14,Mann,Nordland,8740
R03A,2004,10 - 14,Mann,Oppland,6164
R03A,2004,10 - 14,Mann,Oslo,13500
R03A,2004,10 - 14,Mann,Rogaland,15364
R03A,2004,10 - 14,Mann,Sogn og Fjordane,4068
R03A,2004,10 - 14,Mann,Telemark,5703
R03A,2004,10 - 14,Mann,Troms,5624
R03A,2004,10 - 14,Mann,Trøndelag,14220
R03A,2004,10 - 14,Mann,Vest-Agder,6100
R03A,2004,10 - 14,Mann,Vestfold,7750
R03A,2004,10 - 14,Mann,Østfold,8814
R03A,2004,15 - 19,Kvinne,Hele landet,140318
R03A,2004,15 - 19,Kvinne,Helseregion Midt-Norge,20588
R03A,2004,15 - 19,Kvinne,Helseregion Nord-Norge,14599
R03A,2004,15 - 19,Kvinne,Helseregion Sør-Øst,74131
R03A,2004,15 - 19,Kvinne,Helseregion Vest,31000
R03A,2004,15 - 19,Kvinne,Akershus,15232
R03A,2004,15 - 19,Kvinne,Aust-Agder,3430
R03A,2004,15 - 19,Kvinne,Buskerud,7308
R03A,2004,15 - 19,Kvinne,Finnmark,2308
R03A,2004,15 - 19,Kvinne,Hedmark,5544
R03A,2004,15 - 19,Kvinne,Hordaland,14129
R03A,2004,15 - 19,Kvinne,Møre og Romsdal,7954
R03A,2004,15 - 19,Kvinne,Nordland,7586
R03A,2004,15 - 19,Kvinne,Oppland,5300
R03A,2004,15 - 19,Kvinne,Oslo,12136
R03A,2004,15 - 19,Kvinne,Rogaland,13260
R03A,2004,15 - 19,Kvinne,Sogn og Fjordane,3610
R03A,2004,15 - 19,Kvinne,Telemark,5223
R03A,2004,15 - 19,Kvinne,Troms,4704
R03A,2004,15 - 19,Kvinne,Trøndelag,12635
R03A,2004,15 - 19,Kvinne,Vest-Agder,5278
R03A,2004,15 - 19,Kvinne,Vestfold,7112
R03A,2004,15 - 19,Kvinne,Østfold,7570
R03A,2004,15 - 19,Mann,Hele landet,148016
R03A,2004,15 - 19,Mann,Helseregion Midt-Norge,21539
R03A,2004,15 - 19,Mann,Helseregion Nord-Norge,15656
R03A,2004,15 - 19,Mann,Helseregion Sør-Øst,78002
R03A,2004,15 - 19,Mann,Helseregion Vest,32819
R03A,2004,15 - 19,Mann,Akershus,16231
R03A,2004,15 - 19,Mann,Aust-Agder,3561
R03A,2004,15 - 19,Mann,Buskerud,7704
R03A,2004,15 - 19,Mann,Finnmark,2443
R03A,2004,15 - 19,Mann,Hedmark,5856
R03A,2004,15 - 19,Mann,Hordaland,14982
R03A,2004,15 - 19,Mann,Møre og Romsdal,8527
R03A,2004,15 - 19,Mann,Nordland,8217
R03A,2004,15 - 19,Mann,Oppland,5681
R03A,2004,15 - 19,Mann,Oslo,12453
R03A,2004,15 - 19,Mann,Rogaland,13901
R03A,2004,15 - 19,Mann,Sogn og Fjordane,3936
R03A,2004,15 - 19,Mann,Telemark,5486
R03A,2004,15 - 19,Mann,Troms,4996
R03A,2004,15 - 19,Mann,Trøndelag,13012
R03A,2004,15 - 19,Mann,Vest-Agder,5707
R03A,2004,15 - 19,Mann,Vestfold,7268
R03A,2004,15 - 19,Mann,Østfold,8053
R03A,2004,20 - 24,Kvinne,Hele landet,134208
R03A,2004,20 - 24,Kvinne,Helseregion Midt-Norge,19528
R03A,2004,20 - 24,Kvinne,Helseregion Nord-Norge,13306
R03A,2004,20 - 24,Kvinne,Helseregion Sør-Øst,71685
R03A,2004,20 - 24,Kvinne,Helseregion Vest,29690
R03A,2004,20 - 24,Kvinne,Akershus,12702
R03A,2004,20 - 24,Kvinne,Aust-Agder,3216
R03A,2004,20 - 24,Kvinne,Buskerud,6737
R03A,2004,20 - 24,Kvinne,Finnmark,1998
R03A,2004,20 - 24,Kvinne,Hedmark,4854
R03A,2004,20 - 24,Kvinne,Hordaland,13778
R03A,2004,20 - 24,Kvinne,Møre og Romsdal,7574
R03A,2004,20 - 24,Kvinne,Nordland,6868
R03A,2004,20 - 24,Kvinne,Oppland,4970
R03A,2004,20 - 24,Kvinne,Oslo,15942
R03A,2004,20 - 24,Kvinne,Rogaland,12603
R03A,2004,20 - 24,Kvinne,Sogn og Fjordane,3308
R03A,2004,20 - 24,Kvinne,Telemark,4739
R03A,2004,20 - 24,Kvinne,Troms,4440
R03A,2004,20 - 24,Kvinne,Trøndelag,11954
R03A,2004,20 - 24,Kvinne,Vest-Agder,5148
R03A,2004,20 - 24,Kvinne,Vestfold,6216
R03A,2004,20 - 24,Kvinne,Østfold,7160
R03A,2004,20 - 24,Mann,Hele landet,138758
R03A,2004,20 - 24,Mann,Helseregion Midt-Norge,20352
R03A,2004,20 - 24,Mann,Helseregion Nord-Norge,14440
R03A,2004,20 - 24,Mann,Helseregion Sør-Øst,73062
R03A,2004,20 - 24,Mann,Helseregion Vest,30904
R03A,2004,20 - 24,Mann,Akershus,13298
R03A,2004,20 - 24,Mann,Aust-Agder,3460
R03A,2004,20 - 24,Mann,Buskerud,6968
R03A,2004,20 - 24,Mann,Finnmark,2108
R03A,2004,20 - 24,Mann,Hedmark,5250
R03A,2004,20 - 24,Mann,Hordaland,14400
R03A,2004,20 - 24,Mann,Møre og Romsdal,8056
R03A,2004,20 - 24,Mann,Nordland,7402
R03A,2004,20 - 24,Mann,Oppland,5242
R03A,2004,20 - 24,Mann,Oslo,14393
R03A,2004,20 - 24,Mann,Rogaland,12990
R03A,2004,20 - 24,Mann,Sogn og Fjordane,3514
R03A,2004,20 - 24,Mann,Telemark,5052
R03A,2004,20 - 24,Mann,Troms,4930
R03A,2004,20 - 24,Mann,Trøndelag,12296
R03A,2004,20 - 24,Mann,Vest-Agder,5614
R03A,2004,20 - 24,Mann,Vestfold,6538
R03A,2004,20 - 24,Mann,Østfold,7248
R03A,2004,25 - 29,Kvinne,Hele landet,143504
R03A,2004,25 - 29,Kvinne,Helseregion Midt-Norge,18606
R03A,2004,25 - 29,Kvinne,Helseregion Nord-Norge,12860
R03A,2004,25 - 29,Kvinne,Helseregion Sør-Øst,81700
R03A,2004,25 - 29,Kvinne,Helseregion Vest,30337
R03A,2004,25 - 29,Kvinne,Akershus,13041
R03A,2004,25 - 29,Kvinne,Aust-Agder,2934
R03A,2004,25 - 29,Kvinne,Buskerud,6916
R03A,2004,25 - 29,Kvinne,Finnmark,2104
R03A,2004,25 - 29,Kvinne,Hedmark,4686
R03A,2004,25 - 29,Kvinne,Hordaland,14693
R03A,2004,25 - 29,Kvinne,Møre og Romsdal,6580
R03A,2004,25 - 29,Kvinne,Nordland,6161
R03A,2004,25 - 29,Kvinne,Oppland,4636
R03A,2004,25 - 29,Kvinne,Oslo,26602
R03A,2004,25 - 29,Kvinne,Rogaland,12815
R03A,2004,25 - 29,Kvinne,Sogn og Fjordane,2829
R03A,2004,25 - 29,Kvinne,Telemark,4606
R03A,2004,25 - 29,Kvinne,Troms,4596
R03A,2004,25 - 29,Kvinne,Trøndelag,12026
R03A,2004,25 - 29,Kvinne,Vest-Agder,4948
R03A,2004,25 - 29,Kvinne,Vestfold,6101
R03A,2004,25 - 29,Kvinne,Østfold,7231
R03A,2004,25 - 29,Mann,Hele landet,145511
R03A,2004,25 - 29,Mann,Helseregion Midt-Norge,19883
R03A,2004,25 - 29,Mann,Helseregion Nord-Norge,13764
R03A,2004,25 - 29,Mann,Helseregion Sør-Øst,80498
R03A,2004,25 - 29,Mann,Helseregion Vest,31365
R03A,2004,25 - 29,Mann,Akershus,12666
R03A,2004,25 - 29,Mann,Aust-Agder,3178
R03A,2004,25 - 29,Mann,Buskerud,6990
R03A,2004,25 - 29,Mann,Finnmark,2277
R03A,2004,25 - 29,Mann,Hedmark,5042
R03A,2004,25 - 29,Mann,Hordaland,15029
R03A,2004,25 - 29,Mann,Møre og Romsdal,7101
R03A,2004,25 - 29,Mann,Nordland,6712
R03A,2004,25 - 29,Mann,Oppland,4997
R03A,2004,25 - 29,Mann,Oslo,24104
R03A,2004,25 - 29,Mann,Rogaland,13338
R03A,2004,25 - 29,Mann,Sogn og Fjordane,2998
R03A,2004,25 - 29,Mann,Telemark,4829
R03A,2004,25 - 29,Mann,Troms,4776
R03A,2004,25 - 29,Mann,Trøndelag,12782
R03A,2004,25 - 29,Mann,Vest-Agder,5091
R03A,2004,25 - 29,Mann,Vestfold,6130
R03A,2004,25 - 29,Mann,Østfold,7472
R03A,2004,30 - 34,Kvinne,Hele landet,168339
R03A,2004,30 - 34,Kvinne,Helseregion Midt-Norge,21472
R03A,2004,30 - 34,Kvinne,Helseregion Nord-Norge,15962
R03A,2004,30 - 34,Kvinne,Helseregion Sør-Øst,97156
R03A,2004,30 - 34,Kvinne,Helseregion Vest,33749
R03A,2004,30 - 34,Kvinne,Akershus,17860
R03A,2004,30 - 34,Kvinne,Aust-Agder,3390
R03A,2004,30 - 34,Kvinne,Buskerud,8638
R03A,2004,30 - 34,Kvinne,Finnmark,2818
R03A,2004,30 - 34,Kvinne,Hedmark,5892
R03A,2004,30 - 34,Kvinne,Hordaland,16171
R03A,2004,30 - 34,Kvinne,Møre og Romsdal,7550
R03A,2004,30 - 34,Kvinne,Nordland,7526
R03A,2004,30 - 34,Kvinne,Oppland,5886
R03A,2004,30 - 34,Kvinne,Oslo,28258
R03A,2004,30 - 34,Kvinne,Rogaland,14330
R03A,2004,30 - 34,Kvinne,Sogn og Fjordane,3248
R03A,2004,30 - 34,Kvinne,Telemark,5432
R03A,2004,30 - 34,Kvinne,Troms,5618
R03A,2004,30 - 34,Kvinne,Trøndelag,13923
R03A,2004,30 - 34,Kvinne,Vest-Agder,5508
R03A,2004,30 - 34,Kvinne,Vestfold,7348
R03A,2004,30 - 34,Kvinne,Østfold,8944
R03A,2004,30 - 34,Mann,Hele landet,172280
R03A,2004,30 - 34,Mann,Helseregion Midt-Norge,22656
R03A,2004,30 - 34,Mann,Helseregion Nord-Norge,16298
R03A,2004,30 - 34,Mann,Helseregion Sør-Øst,98112
R03A,2004,30 - 34,Mann,Helseregion Vest,35213
R03A,2004,30 - 34,Mann,Akershus,16752
R03A,2004,30 - 34,Mann,Aust-Agder,3524
R03A,2004,30 - 34,Mann,Buskerud,8810
R03A,2004,30 - 34,Mann,Finnmark,2890
R03A,2004,30 - 34,Mann,Hedmark,5850
R03A,2004,30 - 34,Mann,Hordaland,17024
R03A,2004,30 - 34,Mann,Møre og Romsdal,8113
R03A,2004,30 - 34,Mann,Nordland,7472
R03A,2004,30 - 34,Mann,Oppland,6111
R03A,2004,30 - 34,Mann,Oslo,29526
R03A,2004,30 - 34,Mann,Rogaland,14813
R03A,2004,30 - 34,Mann,Sogn og Fjordane,3376
R03A,2004,30 - 34,Mann,Telemark,5666
R03A,2004,30 - 34,Mann,Troms,5937
R03A,2004,30 - 34,Mann,Trøndelag,14543
R03A,2004,30 - 34,Mann,Vest-Agder,5690
R03A,2004,30 - 34,Mann,Vestfold,7226
R03A,2004,30 - 34,Mann,Østfold,8957
R03A,2004,35 - 39,Kvinne,Hele landet,173795
R03A,2004,35 - 39,Kvinne,Helseregion Midt-Norge,23130
R03A,2004,35 - 39,Kvinne,Helseregion Nord-Norge,16920
R03A,2004,35 - 39,Kvinne,Helseregion Sør-Øst,98815
R03A,2004,35 - 39,Kvinne,Helseregion Vest,34930
R03A,2004,35 - 39,Kvinne,Akershus,21244
R03A,2004,35 - 39,Kvinne,Aust-Agder,3622
R03A,2004,35 - 39,Kvinne,Buskerud,9298
R03A,2004,35 - 39,Kvinne,Finnmark,2795
R03A,2004,35 - 39,Kvinne,Hedmark,6490
R03A,2004,35 - 39,Kvinne,Hordaland,16566
R03A,2004,35 - 39,Kvinne,Møre og Romsdal,8224
R03A,2004,35 - 39,Kvinne,Nordland,8411
R03A,2004,35 - 39,Kvinne,Oppland,6484
R03A,2004,35 - 39,Kvinne,Oslo,22050
R03A,2004,35 - 39,Kvinne,Rogaland,14920
R03A,2004,35 - 39,Kvinne,Sogn og Fjordane,3444
R03A,2004,35 - 39,Kvinne,Telemark,5943
R03A,2004,35 - 39,Kvinne,Troms,5714
R03A,2004,35 - 39,Kvinne,Trøndelag,14906
R03A,2004,35 - 39,Kvinne,Vest-Agder,5763
R03A,2004,35 - 39,Kvinne,Vestfold,8226
R03A,2004,35 - 39,Kvinne,Østfold,9696
R03A,2004,35 - 39,Mann,Hele landet,181031
R03A,2004,35 - 39,Mann,Helseregion Midt-Norge,24236
R03A,2004,35 - 39,Mann,Helseregion Nord-Norge,18080
R03A,2004,35 - 39,Mann,Helseregion Sør-Øst,102134
R03A,2004,35 - 39,Mann,Helseregion Vest,36581
R03A,2004,35 - 39,Mann,Akershus,20419
R03A,2004,35 - 39,Mann,Aust-Agder,3746
R03A,2004,35 - 39,Mann,Buskerud,9532
R03A,2004,35 - 39,Mann,Finnmark,3050
R03A,2004,35 - 39,Mann,Hedmark,6868
R03A,2004,35 - 39,Mann,Hordaland,17239
R03A,2004,35 - 39,Mann,Møre og Romsdal,8818
R03A,2004,35 - 39,Mann,Nordland,8923
R03A,2004,35 - 39,Mann,Oppland,6810
R03A,2004,35 - 39,Mann,Oslo,24386
R03A,2004,35 - 39,Mann,Rogaland,15546
R03A,2004,35 - 39,Mann,Sogn og Fjordane,3796
R03A,2004,35 - 39,Mann,Telemark,6050
R03A,2004,35 - 39,Mann,Troms,6106
R03A,2004,35 - 39,Mann,Trøndelag,15418
R03A,2004,35 - 39,Mann,Vest-Agder,6050
R03A,2004,35 - 39,Mann,Vestfold,8284
R03A,2004,35 - 39,Mann,Østfold,9990
R03A,2004,40 - 44,Kvinne,Hele landet,160926
R03A,2004,40 - 44,Kvinne,Helseregion Midt-Norge,21388
R03A,2004,40 - 44,Kvinne,Helseregion Nord-Norge,15900
R03A,2004,40 - 44,Kvinne,Helseregion Sør-Øst,91488
R03A,2004,40 - 44,Kvinne,Helseregion Vest,32150
R03A,2004,40 - 44,Kvinne,Akershus,19936
R03A,2004,40 - 44,Kvinne,Aust-Agder,3522
R03A,2004,40 - 44,Kvinne,Buskerud,8652
R03A,2004,40 - 44,Kvinne,Finnmark,2516
R03A,2004,40 - 44,Kvinne,Hedmark,6370
R03A,2004,40 - 44,Kvinne,Hordaland,15000
R03A,2004,40 - 44,Kvinne,Møre og Romsdal,7816
R03A,2004,40 - 44,Kvinne,Nordland,8064
R03A,2004,40 - 44,Kvinne,Oppland,6358
R03A,2004,40 - 44,Kvinne,Oslo,18570
R03A,2004,40 - 44,Kvinne,Rogaland,13702
R03A,2004,40 - 44,Kvinne,Sogn og Fjordane,3448
R03A,2004,40 - 44,Kvinne,Telemark,5644
R03A,2004,40 - 44,Kvinne,Troms,5321
R03A,2004,40 - 44,Kvinne,Trøndelag,13573
R03A,2004,40 - 44,Kvinne,Vest-Agder,5558
R03A,2004,40 - 44,Kvinne,Vestfold,7968
R03A,2004,40 - 44,Kvinne,Østfold,8911
R03A,2004,40 - 44,Mann,Hele landet,167661
R03A,2004,40 - 44,Mann,Helseregion Midt-Norge,22596
R03A,2004,40 - 44,Mann,Helseregion Nord-Norge,16571
R03A,2004,40 - 44,Mann,Helseregion Sør-Øst,94220
R03A,2004,40 - 44,Mann,Helseregion Vest,34274
R03A,2004,40 - 44,Mann,Akershus,19996
R03A,2004,40 - 44,Mann,Aust-Agder,3462
R03A,2004,40 - 44,Mann,Buskerud,8952
R03A,2004,40 - 44,Mann,Finnmark,2706
R03A,2004,40 - 44,Mann,Hedmark,6476
R03A,2004,40 - 44,Mann,Hordaland,16029
R03A,2004,40 - 44,Mann,Møre og Romsdal,8394
R03A,2004,40 - 44,Mann,Nordland,8348
R03A,2004,40 - 44,Mann,Oppland,6443
R03A,2004,40 - 44,Mann,Oslo,20080
R03A,2004,40 - 44,Mann,Rogaland,14378
R03A,2004,40 - 44,Mann,Sogn og Fjordane,3866
R03A,2004,40 - 44,Mann,Telemark,5662
R03A,2004,40 - 44,Mann,Troms,5516
R03A,2004,40 - 44,Mann,Trøndelag,14203
R03A,2004,40 - 44,Mann,Vest-Agder,5852
R03A,2004,40 - 44,Mann,Vestfold,7997
R03A,2004,40 - 44,Mann,Østfold,9301
R03A,2004,45 - 49,Kvinne,Hele landet,156474
R03A,2004,45 - 49,Kvinne,Helseregion Midt-Norge,21713
R03A,2004,45 - 49,Kvinne,Helseregion Nord-Norge,15584
R03A,2004,45 - 49,Kvinne,Helseregion Sør-Øst,88010
R03A,2004,45 - 49,Kvinne,Helseregion Vest,31166
R03A,2004,45 - 49,Kvinne,Akershus,17651
R03A,2004,45 - 49,Kvinne,Aust-Agder,3653
R03A,2004,45 - 49,Kvinne,Buskerud,8468
R03A,2004,45 - 49,Kvinne,Finnmark,2384
R03A,2004,45 - 49,Kvinne,Hedmark,6682
R03A,2004,45 - 49,Kvinne,Hordaland,14572
R03A,2004,45 - 49,Kvinne,Møre og Romsdal,8415
R03A,2004,45 - 49,Kvinne,Nordland,8034
R03A,2004,45 - 49,Kvinne,Oppland,6379
R03A,2004,45 - 49,Kvinne,Oslo,16985
R03A,2004,45 - 49,Kvinne,Rogaland,13038
R03A,2004,45 - 49,Kvinne,Sogn og Fjordane,3557
R03A,2004,45 - 49,Kvinne,Telemark,5880
R03A,2004,45 - 49,Kvinne,Troms,5166
R03A,2004,45 - 49,Kvinne,Trøndelag,13298
R03A,2004,45 - 49,Kvinne,Vest-Agder,5292
R03A,2004,45 - 49,Kvinne,Vestfold,7954
R03A,2004,45 - 49,Kvinne,Østfold,9067
R03A,2004,45 - 49,Mann,Hele landet,161304
R03A,2004,45 - 49,Mann,Helseregion Midt-Norge,22803
R03A,2004,45 - 49,Mann,Helseregion Nord-Norge,16258
R03A,2004,45 - 49,Mann,Helseregion Sør-Øst,89725
R03A,2004,45 - 49,Mann,Helseregion Vest,32519
R03A,2004,45 - 49,Mann,Akershus,18402
R03A,2004,45 - 49,Mann,Aust-Agder,3674
R03A,2004,45 - 49,Mann,Buskerud,8608
R03A,2004,45 - 49,Mann,Finnmark,2474
R03A,2004,45 - 49,Mann,Hedmark,6696
R03A,2004,45 - 49,Mann,Hordaland,15290
R03A,2004,45 - 49,Mann,Møre og Romsdal,8810
R03A,2004,45 - 49,Mann,Nordland,8425
R03A,2004,45 - 49,Mann,Oppland,6616
R03A,2004,45 - 49,Mann,Oslo,17416
R03A,2004,45 - 49,Mann,Rogaland,13473
R03A,2004,45 - 49,Mann,Sogn og Fjordane,3756
R03A,2004,45 - 49,Mann,Telemark,5999
R03A,2004,45 - 49,Mann,Troms,5359
R03A,2004,45 - 49,Mann,Trøndelag,13993
R03A,2004,45 - 49,Mann,Vest-Agder,5438
R03A,2004,45 - 49,Mann,Vestfold,7839
R03A,2004,45 - 49,Mann,Østfold,9037
R03A,2004,50 - 54,Kvinne,Hele landet,147258
R03A,2004,50 - 54,Kvinne,Helseregion Midt-Norge,21065
R03A,2004,50 - 54,Kvinne,Helseregion Nord-Norge,14924
R03A,2004,50 - 54,Kvinne,Helseregion Sør-Øst,82410
R03A,2004,50 - 54,Kvinne,Helseregion Vest,28858
R03A,2004,50 - 54,Kvinne,Akershus,15702
R03A,2004,50 - 54,Kvinne,Aust-Agder,3537
R03A,2004,50 - 54,Kvinne,Buskerud,8188
R03A,2004,50 - 54,Kvinne,Finnmark,2333
R03A,2004,50 - 54,Kvinne,Hedmark,6555
R03A,2004,50 - 54,Kvinne,Hordaland,13700
R03A,2004,50 - 54,Kvinne,Møre og Romsdal,8156
R03A,2004,50 - 54,Kvinne,Nordland,7616
R03A,2004,50 - 54,Kvinne,Oppland,6170
R03A,2004,50 - 54,Kvinne,Oslo,15520
R03A,2004,50 - 54,Kvinne,Rogaland,11774
R03A,2004,50 - 54,Kvinne,Sogn og Fjordane,3384
R03A,2004,50 - 54,Kvinne,Telemark,5634
R03A,2004,50 - 54,Kvinne,Troms,4976
R03A,2004,50 - 54,Kvinne,Trøndelag,12909
R03A,2004,50 - 54,Kvinne,Vest-Agder,4939
R03A,2004,50 - 54,Kvinne,Vestfold,7546
R03A,2004,50 - 54,Kvinne,Østfold,8618
R03A,2004,50 - 54,Mann,Hele landet,152336
R03A,2004,50 - 54,Mann,Helseregion Midt-Norge,21936
R03A,2004,50 - 54,Mann,Helseregion Nord-Norge,16334
R03A,2004,50 - 54,Mann,Helseregion Sør-Øst,83182
R03A,2004,50 - 54,Mann,Helseregion Vest,30884
R03A,2004,50 - 54,Mann,Akershus,15892
R03A,2004,50 - 54,Mann,Aust-Agder,3628
